KO_code	Transcripts
K00180	0.0
HOIL-1	0.0
CD222	1.0
K10112	326.0
K10117	0.0
K10118	0.0
K10119	0.0
AI316869	2.0
K01652	0.0
lfactory_receptor_287	0.0
AA672646	0.0
K04083	0.0
K04087	0.0
V2rp1	0.0
K04084	4.0
K04088	0.0
LIR-3	2.0
ECF_family	0.0
K01104	16.0
K00981	0.0
K05592	0.0
K01295	47.0
T_cell_lymphoma_breakpoint_1	0.0
MiRP2	11.0
AU022200	0.0
K05601	0.0
K00215	0.0
C-terminal_domain	0.0
4631412O18Ri	0.0
K02038	0.0
K02039	0.0
K04517	7.0
K01740	0.0
K01745	0.0
K01744	0.0
K02030	20.0
K02031	0.0
K05020	0.0
K02033	449.0
K02034	0.0
K02035	0.0
K02036	0.0
K02037	0.0
K16962	30.0
K16961	32.0
K01586	40.0
MSLP2	0.0
AI843643	1.0
K01588	0.0
solute_carrier_family_25	23.0
K13653	145.0
Ftna	0.0
D330028K02Ri	0.0
AI789753	1.0
AI848508	1.0
AW546258	0.0
K03458	0.0
K02103	0.0
K03457	0.0
K02055	0.0
K02108	0.0
2310008C07Ri	0.0
Glc_family_(TC_4.A.1.1.2)	0.0
K01639	0.0
K03856	13.0
K07718	0.0
K03523	0.0
K03522	0.0
K03525	0.0
K03524	0.0
K03527	71.0
K03529	186.0
OTTMUSG00000020804	7.0
K03671	1135.0
PcdhbP	0.0
K09761	0.0
K09765	0.0
K02217	0.0
potassium_channel_tetramerization_domain_containing_9	1.0
D630015G19	1715.0
zinc_finger_protein_619	0.0
AW319193	0.0
8430403M15Ri	0.0
similar_to_zinc_finger_protein_11B	0.0
K12308	0.0
K03292	0.0
K03296	34.0
K13479	0.0
K03073	0.0
K03070	27.0
K03076	0.0
K03075	0.0
Gm203	0.0
K03079	0.0
K11654	1.0
similar_to_MAP/microtubule_affinity-regulating_kinase_3_(EC:2.7.11.1)	0.0
K08963	0.0
K03273	0.0
and_HSP90-like_ATPase.	0.0
K06131	3.0
K06133	0.0
GLP1Rc	0.0
C230002E15Ri	1.0
alpha_1_polypeptide	5.0
5730422L11Ri	1.0
RecD/TraA_family_(EC:3.1.11.5)	0.0
predicted_gene_15583	0.0
AU040377	0.0
4930504E06Ri	4.0
AA409740	1.0
K12452	0.0
K07192	0.0
K09903	0.0
K16511	0.0
B230210L08Ri	0.0
